,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
2744,"Felisa, Fang of Silverquill",{2}{W}{B},4.0,Flying Mentor (Whenever this creature attacks  put a +1/+1 counter on target attacking creature with lesser power.) Whenever a nontoken creature you control dies  if it had counters on it  create X tapped 2/1 white and black Inkling creature tokens with flying  where X is the number of counters it had on it.,3,2,0.20,clb
2745,Nadier's Nightblade,{2}{B},3.0,Whenever a token you control leaves the battlefield  each opponent loses 1 life and you gain 1 life.,1,3,1.65,cmr
2746,Overt Operative,{3}{B},4.0,Menace Whenever This Card deals combat damage to a player  it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.),2,3,0.11,ust
2747,Sanguine Glorifier,{3}{W},4.0,When This Card enters the battlefield  put a +1/+1 counter on another target Vampire you control.,3,3,0.02,rix
2748,Turntimber Ranger,{3}{G}{G},5.0,Whenever This Card or another Ally enters the battlefield under your control  you may create a 2/2 green Wolf creature token. If you do  put a +1/+1 counter on This Card.,2,2,0.41,zen
2749,Veldrane of Sengir,{5}{B}{B},7.0,{1}{B}{B}: This Card gets -3/-0 and gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),5,5,1.06,hml
2750,Vampire Warlord,{4}{B},5.0,Sacrifice another creature: Regenerate This Card. (The next time this creature would be destroyed this turn  it isn't. Instead tap it  remove all damage from it  and remove it from combat.),4,2,0.09,m14
2751,Eager Construct,{2},2.0,When This Card enters the battlefield  each player may scry 1. (To scry 1  look at the top card of your library  then you may put that card on the bottom of your library.),2,2,0.02,2xm
2752,Paragon of Open Graves,{3}{B},4.0,Other black creatures you control get +1/+1. {2}{B}  {T}: Another target black creature you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.),2,2,0.23,m15
2753,Knight of the Reliquary,{1}{G}{W},3.0,This Card gets +1/+1 for each land card in your graveyard. {T}  Sacrifice a Forest or Plains: Search your library for a land card  put it onto the battlefield  then shuffle.,2,2,1.16,ima
2754,Exquisite Huntmaster,{3}{B},4.0,When This Card dies  create a 1/1 green Elf Warrior creature token. Encore {4}{B} ({4}{B}  Exile this card from your graveyard: For each opponent  create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.),4,2,0.03,cmr
2755,Sphinx of Jwar Isle,{4}{U}{U},6.0,Flying Shroud (This creature can't be the target of spells or abilities.) You may look at the top card of your library any time.,5,5,0.12,c18
2756,Humongulus,{4}{U},5.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.),2,5,0.01,rna
2757,"Kaho, Minamo Historian",{2}{U}{U},4.0,When This Card enters the battlefield  search your library for up to three instant cards  exile them  then shuffle. {X}  {T}: You may cast a spell with mana value X from among cards exiled with Kaho without paying its mana cost.,2,2,2.34,sok
2758,Goblin Fireslinger,{R},1.0,{T}: This Card deals 1 damage to target player or planeswalker.,1,1,0.12,mm2
2759,Underworld Charger,{2}{B},3.0,This Card can't block. Escape—{4}{B}  Exile three other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.) This Card escapes with two +1/+1 counters on it.,3,3,0.02,thb
2760,Geode Rager,{4}{R}{R},6.0,First strike Landfall — Whenever a land enters the battlefield under your control  goad each creature target player controls. (Until your next turn  those creatures attack each combat if able and attack a player other than you if able.),4,3,0.24,clb
2761,Amrou Seekers,{2}{W},3.0,This Card can't be blocked except by artifact creatures and/or white creatures.,2,2,0.02,tsr
2762,Meddling Kids,{2}{W}{U},4.0,As This Card enters the battlefield  choose a word with four or more letters. Spells with the chosen word in their text box can't be cast.,2,3,1.22,unh
2763,Horizon Seed,{4}{W},5.0,Whenever you cast a Spirit or Arcane spell  regenerate target creature.,2,1,0.14,chk
2764,Eager Cadet,{W},1.0,_,1,1,0.25,9ed
2765,Monastery Mentor,{2}{W},3.0,Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.) Whenever you cast a noncreature spell  create a 1/1 white Monk creature token with prowess.,2,2,7.39,2x2
2766,Elder Gargaroth,{3}{G}{G},5.0,Vigilance  reach  trample Whenever This Card attacks or blocks  choose one — • Create a 3/3 green Beast creature token. • You gain 3 life. • Draw a card.,6,6,12.96,m21
2767,Charging Cinderhorn,{3}{R},4.0,Haste At the beginning of each player's end step  if no creatures attacked this turn  put a fury counter on This Card. Then This Card deals damage equal to the number of fury counters on it to that player.,4,2,0.25,c16
2768,Rampaging Monument,{4},4.0,Trample This Card enters the battlefield with three +1/+1 counters on it. Whenever you cast a multicolored spell  put a +1/+1 counter on This Card.,0,0,0.04,grn
2769,Bone Miser,{4}{B},5.0,Whenever you discard a creature card  create a 2/2 black Zombie creature token. Whenever you discard a land card  add {B}{B}. Whenever you discard a noncreature  nonland card  draw a card.,4,4,5.91,c19
2770,Goblin Warchief,{1}{R}{R},3.0,Goblin spells you cast cost {1} less to cast. Goblins you control have haste.,2,2,0.53,dom
2771,Domri's Nodorog,{3}{R}{G},5.0,Trample When This Card enters the battlefield  you may search your library and/or graveyard for a card named Domri  City Smasher  reveal it  and put it into your hand. If you search your library this way  shuffle.,5,2,0.19,rna
2772,Deadshot Minotaur,{3}{R}{G},5.0,When This Card enters the battlefield  it deals 3 damage to target creature with flying. Cycling {R/G} ({R/G}  Discard this card: Draw a card.),3,4,0.16,arb
2773,Pestilent Wolf,{1}{G},2.0,{2}{G}: This Card gains deathtouch until end of turn.,2,2,0.02,mid
2774,Magus of the Disk,{2}{W}{W},4.0,This Card enters the battlefield tapped. {1}  {T}: Destroy all artifacts  creatures  and enchantments.,2,4,0.18,c20
2775,Alley Grifters,{1}{B}{B},3.0,Whenever This Card becomes blocked  defending player discards a card.,2,2,0.14,mmq
2776,Spirit,_,0.0,_,2,2,0.94,twar
2777,Spike-Tailed Ceratops,{4}{G},5.0,This Card can block an additional creature each combat.,4,4,0.03,xln
2778,Empty-Shrine Kannushi,{W},1.0,This Card has protection from the colors of permanents you control.,1,1,0.23,bok
2779,Hunted Dragon,{3}{R}{R},5.0,Flying  haste When This Card enters the battlefield  target opponent creates three 2/2 white Knight creature tokens with first strike.,6,6,0.52,cm2
2780,Battle-Mad Ronin,{1}{R},2.0,Bushido 2 (Whenever this creature blocks or becomes blocked  it gets +2/+2 until end of turn.) This Card attacks each combat if able.,1,1,0.14,chk
2781,Jeskai Infiltrator,{2}{U},3.0,This Card can't be blocked as long as you control no other creatures. When This Card deals combat damage to a player  exile it and the top card of your library in a face-down pile  shuffle that pile  then manifest those cards. (To manifest a card  put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.),2,3,0.07,c18
2782,Balustrade Spy,{3}{B},4.0,Flying When This Card enters the battlefield  target player reveals cards from the top of their library until they reveal a land card  then puts those cards into their graveyard.,2,3,0.03,2x2
2783,Skull Prophet,{B}{G},2.0,{T}: Add {B} or {G}. {T}: Mill two cards.,3,1,0.61,iko
2784,Jolrael's Centaur,{1}{G}{G},3.0,Shroud (This creature can't be the target of spells or abilities.) Flanking (Whenever a creature without flanking blocks this creature  the blocking creature gets -1/-1 until end of turn.),2,2,0.14,mir
2785,Serra Redeemer,{3}{W}{W},5.0,Flying Whenever another creature with power 2 or less enters the battlefield under your control  put two +1/+1 counters on that creature.,2,4,0.33,dmu
2786,Emberwilde Augur,{1}{R},2.0,Sacrifice This Card: It deals 3 damage to target player or planeswalker. Activate only during your upkeep.,2,1,0.05,evg
2787,Barbary Apes,{1}{G},2.0,_,2,2,2.07,leg
2788,Keeper of the Nine Gales,{2}{U},3.0,Flying {T}  Tap two untapped Birds you control: Return target permanent to its owner's hand.,1,2,0.28,lgn
2789,Shaman of the Pack,{1}{B}{G},3.0,When This Card enters the battlefield  target opponent loses life equal to the number of Elves you control.,3,2,0.50,khc
2790,Spawn of Rix Maadi,{3}{B}{R},5.0,Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.),5,3,0.04,rtr
2791,Black Poplar Shaman,{2}{B},3.0,{2}{B}: Regenerate target Treefolk.,1,3,0.18,lrw
2792,Bassara Tower Archer,{G}{G},2.0,Hexproof  reach,2,1,0.23,jou
2793,Soltari Crusader,{2}{W},3.0,Shadow (This creature can block or be blocked by only creatures with shadow.) {1}{W}: This Card gets +1/+0 until end of turn.,2,1,0.25,tmp
2794,Thornmantle Striker,{4}{B},5.0,When This Card enters the battlefield  choose one — • Remove X counters from target permanent  where X is the number of Elves you control. • Target creature an opponent controls gets -X/-X until end of turn  where X is the number of Elves you control.,4,3,0.06,khm
2795,Celebrity Fencer,{3}{W},4.0,Alliance — Whenever another creature enters the battlefield under your control  put a +1/+1 counter on This Card.,3,2,0.01,snc
2796,Bala Ged Thief,{3}{B},4.0,Whenever This Card or another Ally enters the battlefield under your control  target player reveals a number of cards from their hand equal to the number of Allies you control. You choose one of them. That player discards that card.,2,2,0.18,zen
2797,Orcish Librarian,{1}{R},2.0,{R}  {T}: Look at the top eight cards of your library. Exile four of them at random  then put the rest on top of your library in any order.,1,1,0.25,tsb
2798,Syndicate Enforcer,{3}{B},4.0,Extort (Whenever you cast a spell  you may pay {W/B}. If you do  each opponent loses 1 life and you gain that much life.),3,2,0.11,gtc
2799,Disciple of Tevesh Szat,{2}{B}{B},4.0,{T}: Target creature gets -1/-1 until end of turn. {4}{B}{B}  {T}  Sacrifice This Card: Target creature gets -6/-6 until end of turn.,3,1,0.09,csp
2800,Empyrial Archangel,{4}{G}{W}{W}{U},8.0,Flying Shroud (This creature can't be the target of spells or abilities.) All damage that would be dealt to you is dealt to This Card instead.,5,8,0.21,2x2
2801,Spined Megalodon,{5}{U}{U},7.0,Hexproof (This creature can't be the target of spells or abilities your opponents control.) Whenever This Card attacks  scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),5,7,0.04,m21
2802,Master of Death,{1}{U}{B},3.0,When This Card enters the battlefield  surveil 2. At the beginning of your upkeep  if This Card is in your graveyard  you may pay 1 life. If you do  return it to your hand.,3,1,0.19,mh2
2803,Priest of Titania,{1}{G},2.0,{T}: Add {G} for each Elf on the battlefield.,1,1,7.82,cma
2804,Waker of Waves,{5}{U}{U},7.0,Creatures your opponents control get -1/-0. {1}{U}  Discard This Card: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.,7,7,0.25,m21
2805,Benalish Commander,{3}{W},4.0,This Card's power and toughness are each equal to the number of Soldiers you control. Suspend X—{X}{W}{W}. X can't be 0. Whenever a time counter is removed from This Card while it's exiled  create a 1/1 white Soldier creature token.,*,*,0.18,tsr
2806,Haazda Marshal,{W},1.0,Whenever This Card and at least two other creatures attack  create a 1/1 white Soldier creature token with lifelink.,1,1,0.11,grn
2807,Wall of Roots,{1}{G},2.0,Defender Put a -0/-1 counter on This Card: Add {G}. Activate only once each turn.,0,5,0.33,ncc
2808,Lord of the Forsaken,{4}{B}{B},6.0,Flying  trample {B}  Sacrifice another creature: Target player mills three cards. Pay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard.,6,6,0.55,mid
2809,Deathspore Thallid,{1}{B},2.0,At the beginning of your upkeep  put a spore counter on This Card. Remove three spore counters from This Card: Create a 1/1 green Saproling creature token. Sacrifice a Saproling: Target creature gets -1/-1 until end of turn.,1,1,0.08,tsr
2810,Fog Bank,{1}{U},2.0,Defender  flying Prevent all combat damage that would be dealt to and dealt by This Card.,0,2,0.29,bbd
2811,Putrefax,{3}{G}{G},5.0,Trample  haste Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) At the beginning of the end step  sacrifice This Card.,5,3,0.43,som
2812,Malakir Blood-Priest,{1}{B},2.0,When This Card enters the battlefield  each opponent loses X life and you gain X life  where X is the number of creatures in your party. (Your party consists of up to one each of Cleric  Rogue  Warrior  and Wizard.),2,1,0.06,clb
2813,Mukotai Ambusher,{3}{B},4.0,Ninjutsu {1}{B} ({1}{B}  Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Lifelink,3,2,0.05,neo
2814,Llanowar Dead,{B}{G},2.0,{T}: Add {B}.,2,2,0.23,apc
2815,Nimbus Champion,{5}{U},6.0,Flying Whenever This Card attacks  you may return target creature to its owner's hand if that creature's power is less than or equal to the number of Warriors your team controls.,4,4,0.09,bbd
