,name,mana_cost,cmc,oracle_text,prices,set
707,Wrenn and Six,{R}{G},2.0,"+1: Return up to one target land card from your graveyard to your hand. −1: This Card deals 1 damage to any target. −7: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace."" (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.)",55.28,2x2
708,Waves of Aggression,{3}{R/W}{R/W},5.0,Untap all creatures that attacked this turn. After this main phase  there is an additional combat phase followed by an additional main phase. Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),24.03,eve
709,Overwhelming Splendor,{6}{W}{W},8.0,Enchant player Creatures enchanted player controls lose all abilities and have base power and toughness 1/1. Enchanted player can't activate abilities that aren't mana abilities or loyalty abilities.,3.10,hou
710,Unerring Sling,{3},3.0,{3}  {T}  Tap an untapped creature you control: This Card deals damage equal to the tapped creature's power to target attacking or blocking creature with flying.,0.17,mir
711,Bankrupt in Blood,{1}{B},2.0,As an additional cost to cast this spell  sacrifice two creatures. Draw three cards.,0.09,rna
712,"Jaya, Venerated Firemage",{4}{R},5.0,If another red source you control would deal damage to a permanent or player  it deals that much damage plus 1 to that permanent or player instead. −2: This Card deals 2 damage to any target.,0.23,war
713,Journeyer's Kite,{2},2.0,{3}  {T}: Search your library for a basic land card  reveal it  put it into your hand  then shuffle.,0.49,ddi
714,Wheel of Misfortune,{2}{R},3.0,Each player secretly chooses a number 0 or greater  then all players reveal those numbers simultaneously and determine the highest and lowest numbers revealed this way. This Card deals damage equal to the highest number to each player who chose that number. Each player who didn't choose the lowest number discards their hand  then draws seven cards.,2.76,cmr
715,Curse of Oblivion,{3}{B},4.0,Enchant player At the beginning of enchanted player's upkeep  that player exiles two cards from their graveyard.,0.14,isd
716,Veldt,_,0.0,This Card doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep  remove a depletion counter from This Card. {T}: Add {G} or {W}. Put a depletion counter on This Card.,1.38,ice
717,Daring Leap,{1}{W}{U},3.0,Target creature gets +1/+1 and gains flying and first strike until end of turn.,0.10,pls
718,The Slayer,_,0.0,You start the game with an additional 7 life.,0.23,thp1
719,Seismic Shudder,{1}{R},2.0,This Card deals 1 damage to each creature without flying.,0.05,zen
720,Cruel Edict,{1}{B},2.0,Target opponent sacrifices a creature.,0.25,dvd
721,Eye of Ugin,_,0.0,Colorless Eldrazi spells you cast cost {2} less to cast. {7}  {T}: Search your library for a colorless creature card  reveal it  put it into your hand  then shuffle.,9.83,mm2
722,Weapon Rack,{4},4.0,This Card enters the battlefield with three +1/+1 counters on it. {T}: Move a +1/+1 counter from This Card onto target creature. Activate only as a sorcery.,0.03,eld
723,Sunbird's Invocation,{5}{R},6.0,Whenever you cast a spell from your hand  reveal the top X cards of your library  where X is that spell's mana value. You may cast a spell with mana value X or less from among cards revealed this way without paying its mana cost. Put the rest on the bottom of your library in a random order.,0.61,c21
724,Tectonic Reformation,{1}{R},2.0,Each land card in your hand has cycling {R}. Cycling {2} ({2}  Discard this card: Draw a card.),0.23,c20
725,Dredge the Mire,{3}{B},4.0,Each opponent chooses a creature card in their graveyard. Put those cards onto the battlefield under your control.,0.24,c20
726,Blanket of Night,{1}{B}{B},3.0,Each land is a Swamp in addition to its other land types.,1.01,vis
727,Lawmage's Binding,{1}{W}{U},3.0,Flash Enchant creature Enchanted creature can't attack or block  and its activated abilities can't be activated.,0.07,jmp
728,Join Shields,{3}{G}{W},5.0,"Untap all creatures you control. They gain hexproof and indestructible until end of turn. (They can't be the targets of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy them.)",0.06,grn
729,Nettlevine Blight,{4}{B}{B},6.0,"Enchant creature or land Enchanted permanent has ""At the beginning of your end step  sacrifice this permanent and attach This Card to a creature or land you control.""",0.94,lrw
730,Phyrexian Scriptures,{2}{B}{B},4.0,(As this Saga enters and after your draw step  add a lore counter. Sacrifice after III.) I — Put a +1/+1 counter on up to one target creature. That creature becomes an artifact in addition to its other types. II — Destroy all nonartifact creatures. III — Exile all opponents' graveyards.,4.40,dom
731,Puncturing Blow,{2}{R}{R},4.0,This Card deals 5 damage to target creature. If that creature would die this turn  exile it instead.,0.01,hou
732,Increasing Confusion,{X}{U},1.0,Target player mills X cards. If this spell was cast from a graveyard  that player mills twice that many cards instead. Flashback {X}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.),2.50,dka
733,Take Possession,{5}{U}{U},7.0,Split second (As long as this spell is on the stack  players can't cast spells or activate abilities that aren't mana abilities.) Enchant permanent You control enchanted permanent.,0.26,mma
734,Nissa Revane,{2}{G}{G},4.0,+1: Search your library for a card named Nissa's Chosen  put it onto the battlefield  then shuffle. +1: You gain 2 life for each Elf you control. −7: Search your library for any number of Elf creature cards  put them onto the battlefield  then shuffle.,10.05,zen
735,Stinging Study,{4}{B},5.0,You draw X cards and you lose X life  where X is the mana value of a commander you own on the battlefield or in the command zone.,4.54,c21
736,Snake Pit,{3}{G},4.0,Whenever an opponent casts a blue or black spell  you may create a 1/1 green Snake creature token.,1.05,mmq
737,Artisan's Sorrow,{3}{G},4.0,Destroy target artifact or enchantment. Scry 2. (Look at the top two cards of your library  then put any number of them on the bottom of your library and the rest on top in any order.),0.08,ths
738,Agonizing Syphon,{3}{B},4.0,This Card deals 3 damage to any target and you gain 3 life.,0.02,jmp
739,A Little Chat,{1}{U},2.0,Casualty 1 (As you cast this spell  you may sacrifice a creature with power 1 or greater. When you do  copy this spell.) Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.,0.04,snc
740,Fight Rigging,{2}{G},3.0,Hideaway 5 (When this enchantment enters the battlefield  look at the top five cards of your library  exile one face down  then put the rest on the bottom in a random order.) At the beginning of combat on your turn  put a +1/+1 counter on target creature you control. Then if you control a creature with power 7 or greater  you may play the exiled card without paying its mana cost.,0.65,snc
741,Gauntlet of Power,{5},5.0,As This Card enters the battlefield  choose a color. Creatures of the chosen color get +1/+1. Whenever a basic land is tapped for mana of the chosen color  its controller adds an additional one mana of that color.,5.72,tsr
742,Diviner's Portent,{X}{U}{U}{U},3.0,Roll a d20 and add the number of cards in your hand. 1—14 | Draw X cards. 15+ | Scry X  then draw X cards.,0.32,afc
743,Leyline of Abundance,{2}{G}{G},4.0,If This Card is in your opening hand  you may begin the game with it on the battlefield. Whenever you tap a creature for mana  add an additional {G}. {6}{G}{G}: Put a +1/+1 counter on each creature you control.,1.78,m20
744,Counterbore,{3}{U}{U},5.0,Counter target spell. Search its controller's graveyard  hand  and library for all cards with the same name as that spell and exile them. Then that player shuffles.,0.18,shm
745,Shamble Back,{B},1.0,Exile target creature card from a graveyard. Create a 2/2 black Zombie creature token. You gain 2 life.,0.08,soi
746,Captivating Glance,{2}{U},3.0,Enchant creature At the beginning of your end step  clash with an opponent. If you win  gain control of enchanted creature. Otherwise  that player gains control of enchanted creature. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),0.15,lrw
747,Djeru's Renunciation,{1}{W},2.0,Tap up to two target creatures. Cycling {W} ({W}  Discard this card: Draw a card.),0.03,hou
748,Llanowar,_,0.0,"All creatures have ""{T}: Add {G}{G}."" Whenever you roll {CHAOS}  untap all creatures you control.",2.72,opca
749,Beastmaster Ascension,{2}{G},3.0,Whenever a creature you control attacks  you may put a quest counter on This Card. As long as This Card has seven or more quest counters on it  creatures you control get +5/+5.,3.69,ncc
750,Ronin Warclub,{3},3.0,Equipped creature gets +2/+1. Whenever a creature enters the battlefield under your control  attach This Card to that creature. Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.),0.25,bok
751,Reconnaissance Mission,{2}{U}{U},4.0,Whenever a creature you control deals combat damage to a player  you may draw a card. Cycling {2} ({2}  Discard this card: Draw a card.),1.51,voc
752,Gallery of Legends,_,0.0,Visit — Exile cards from the top of your library until you exile a nonland card  then choose a legendary creature card name with the same mana value as that card. Create a token that's a copy of the card with the chosen name. That token gains haste. Exile it at the beginning of the next end step.,0.14,unf
753,Browbeat,{2}{R},3.0,Any player may have This Card deal 5 damage to them. If no one does  target player draws three cards.,0.27,a25
754,Go for Blood,{1}{R},2.0,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.) Cycling {1} ({1}  Discard this card: Draw a card.),0.05,iko
755,Experimental Synthesizer,{R},1.0,When This Card enters or leaves the battlefield  exile the top card of your library. Until end of turn  you may play that card. {2}{R}  Sacrifice This Card: Create a 2/2 white Samurai creature token with vigilance. Activate only as a sorcery.,0.25,neo
756,Disdainful Stroke,{1}{U},2.0,Counter target spell with mana value 4 or greater.,0.09,snc
757,Blockbuster,{3}{R}{R},5.0,{1}{R}  Sacrifice This Card: It deals 3 damage to each tapped creature and each player.,0.11,rav
758,Hesitation,{1}{U},2.0,When a player casts a spell  sacrifice This Card and counter that spell.,0.27,sth
759,The Warmonger,_,0.0,Exile This Card: Creatures you control get +2/+0 and gain haste until end of turn.,0.29,thp2
760,Bar the Gate,{2}{U},3.0,Counter target creature or planeswalker spell. Venture into the dungeon. (Enter the first room or advance to the next room.),0.04,afr
761,Potion of Healing,{1}{W},2.0,When This Card enters the battlefield  draw a card. {W}  {T}  Sacrifice This Card: You gain 3 life.,0.02,afr
762,Imi Statue,{3},3.0,Players can't untap more than one artifact during their untap steps.,0.25,chk
763,Unnatural Predation,{G},1.0,Target creature gets +1/+1 and gains trample until end of turn.,0.05,mbs
764,Unmoored Ego,{1}{U}{B},3.0,Choose a card name. Search target opponent's graveyard  hand  and library for up to four cards with that name and exile them. That player shuffles  then draws a card for each card exiled from their hand this way.,0.40,grn
